Visual-Chart-ID,Visual-Chart-Name,Ambition-ID,Category-ID,Chart-Type,File-Path,Table Commentary,Page Commentary,Chart-Displayed,Y-Label,Map-Type,X-Axis-Key,Y-Axis-Key,Third-Var-Key,Golden-Thread
11,Healthy Weight,1,1,line,healthy-weight.json,proportion of adults aged 18 and over classified as overweight or living with obesity (BMI >= 85 percentile) from 2015 to 2021,"Lambeth has a significantly lower value than London for 2021/22, and there was no significant difference between the two for 2020/21.",y,(%) Adults aged 18+ classified as overweight or obese,N/A,Time period,Value,AreaName,n
12,Smoking,1,1,line,smoking.json,Smoking prevalence from the Quality and Outcomes Framework (QOF),"London values are not available for 2022/23, but Lambeth's value saw a significant decrease from the previous year. In 2021/22, Lambeth had a significantly higher value than London.",y,Smoking prevalence in adults (15+) - (%) current smokers,N/A,Time period,Value,AreaName,n
13,High Blood Pressure,1,1,line,high-blood-pressure.json,"The percentage of patients with established hypertension, as recorded on practice disease registers (proportion of total list size)","Lambeth has had significantly lower values than London for both years, but saw a significant increase since the previous year.",y,(%) Patients with established hypertension,N/A,Time period,Value,AreaName,n
14,Diabetes,1,1,line,diabetes.json,"The percentage of patients aged 17 or over with diabetes mellitus, as recorded on practice disease registers",Lambeth has had significantly lower values than London for both years.,y,(%) Patients aged 17 or over with diabetes,N/A,Time period,Value,AreaName,n
15,Depression,1,2,line,depression.json,"the estimated number of people with depression recorded on the practice register as a proportion of the practice list size, aged 18 years or over, allocated to a local authority boundary using the postcode of the practice",Lambeth has had significantly higher values than London for both years and saw a significant increase since the previous year.,y,(%) Patients aged 18 and over with depression,N/A,Time period,Value,AreaName,n
16,Coronary Heart Disease,1,1,line,coronary-heart-disease.json,"The percentage of patients with coronary heart disease (CHD), as recorded on practice disease register",Lambeth has had significantly lower values than London for both years.,y,(%) Patients with coronary heart disease,N/A,Time period,Value,AreaName,n
17,Life Expectancy at Birth - Male,1,1,line,male-life-expectancy-at-birth.json,The average number of years a person would expect to live based on contemporary mortality rates. It is an estimate of the average number of years a newborn boy would survive if he experienced the age specific mortality rates for that area and time period throughout his life.,"Lambeth has a significantly lower value than London for 2022, and there was no significant difference between the two for 2021.",y,Life Expectancy at birth,N/A,Time period,Value,AreaName,n
18,Life Expectancy at Birth - Female,1,1,line,female-life-expectancy-at-birth.json,The average number of years a person would expect to live based on contemporary mortality rates. It is an estimate of the average number of years a newborn girl would survive if she experienced the age specific mortality rates for that area and time period throughout her life.,Lambeth has a significantly lower value than London for both years.,y,Life Expectancy at birth,N/A,Time period,Value,AreaName,n
19,Healthy Life Expectancy - Male,1,1,line,male-healthy-life-expectancy.json,A measure of the average number of years a person would expect to live in good health based on contemporary mortality rates and prevalence of self reported good health. ,There is no significant difference between Lambeth and London for either time period.,y,Healthy Life Expectancy,N/A,Time period,Value,AreaName,n
20,Healthy Life Expectancy - Female,1,1,line,female-healthy-life-expectancy.json,A measure of the average number of years a person would expect to live in good health based on contemporary mortality rates and prevalence of self reported good health. ,Lambeth has a significantly lower value than London for both time periods.,y,Healthy Life Expectancy,N/A,Time period,Value,AreaName,n
21,Deaths Under 75 from Preventable Causes,1,1,line,deaths-under-75-from-preventable-causes.json,"Shows the directly age standardised mortality rate from causes considered preventable, per 100,000 population, in those aged under 75 years","Lambeth has a significantly higher value than London for 2022, and there was no significant difference between the two for 2021.",y,"Preventable deaths per 100,000",N/A,Time period,Value,AreaName,n
22,Preventable Mortality - Cancer,1,1,line,preventable-mortality---cancer.json,"Directly age-standardised mortality rate from cancers considered preventable, per 100,000 population, in those aged under 75 years",Lambeth has had significantly higher values than London for both time periods.,y,"Preventable deaths per 100,000",N/A,Time period,Value,AreaName,n
23,Preventable Mortality - Cardiovascular Disease,1,1,line,preventable-mortality---cardiovascular-disease.json,"Directly age-standardised mortality rate from all circulatory diseases considered preventable (including heart disease), per 100,000 population, in those aged under 75 years",There is no significant difference between Lambeth and London for either time period.,y,"Preventable deaths per 100,000",N/A,Time period,Value,AreaName,n
24,Preventable Mortality - Liver Disease,1,1,line,preventable-mortality---liver-disease.json,"Directly age-standardised mortality rate from liver diseases considered preventable, per 100,000 population, in those aged under 75 years",There is no significant difference between Lambeth and London for either time period.,y,"Preventable deaths per 100,000",N/A,Time period,Value,AreaName,n
25,Preventable Mortality - Respiratory Disease,1,1,line,preventable-mortality---respiratory-disease.json,"Directly age-standardised mortality rate from respiratory diseases considered preventable, per 100,000 population, in those aged under 75 years","There is no significant difference between Lambeth and London for 2020/22, but Lambeth had a significantly higher value than London for 2019/21.",y,"Preventable deaths per 100,000",N/A,Time period,Value,AreaName,n
26,Greenhouse gas emissions,1,3,line,greenhousegas_emissions.json,Per capita emissions of greenhouse gases (tonnes of CO2 equivalent),"This graph shows the greenhouse gas (GHG) emissions per person for Lambeth residents compared with London and England. Lambeth residents area responsible for less CO2 equivalent emissions per year (2.7 tCO2e) in 2022 compared with the averages for London (3.15) and England (5.15). Over the three years of available data, GHG emissions have been decreasing in Lambeth, London, and England at a similar rate.",y,Per Capita Emissions (tCO2e),N/A,Time period,Value,AreaName,n
27,Pollutant concentrations - PM 2.5,1,3,bar,pm25pollutant.json,NO2/PM2.5 concentrations relative to  UK/EU Air Quality Objective concentrations (40 ug/m3) and the WHO guideline concentration post 2021 (10 ug/m3),"These graphs show the concentrations of NO2 and PM 2.5 in Lambeth and London, and changes in concentrations between 2016 and 2019.

In 2016, Lambeth and Inner London were both had an average NO2 concentrations of just above 40 ug/m3, above the UK/EU Air Quality objective concentration. In 2019 average concentrations had reduced by 23% in Lambeth to 30.9 ug/m3. Similar reductions in other areas of London meant that the vast majority of the capital now had NO2 concentrations below UK/EU Air Quality objectives, but still significantly above WHO guideline concentrations (10 ug/m3).

Similar reductions were observed in PM2.5 concentrations across all areas between 2016 and 2019. Concentrations in Lambeth reduced by 19.5% from 13.9 to 11.2 ug/m3, with similar concentrations across Inner London. Concentrations in 2019 were still above WHO guidelines.",y,Average concentration (ug/m3),N/A,AreaName,Concentration,N/A,n
28,Pollutant concentrations - NO2,1,3,bar,no2pollutant.json,NO2/PM2.5 concentrations relative to  UK/EU Air Quality Objective concentrations (40 ug/m3) and the WHO guideline concentration post 2021 (10 ug/m3),"These graphs show the concentrations of NO2 and PM 2.5 in Lambeth and London, and changes in concentrations between 2016 and 2019.

In 2016, Lambeth and Inner London were both had an average NO2 concentrations of just above 40 ug/m3, above the UK/EU Air Quality objective concentration. In 2019 average concentrations had reduced by 23% in Lambeth to 30.9 ug/m3. Similar reductions in other areas of London meant that the vast majority of the capital now had NO2 concentrations below UK/EU Air Quality objectives, but still significantly above WHO guideline concentrations (10 ug/m3).

Similar reductions were observed in PM2.5 concentrations across all areas between 2016 and 2019. Concentrations in Lambeth reduced by 19.5% from 13.9 to 11.2 ug/m3, with similar concentrations across Inner London. Concentrations in 2019 were still above WHO guidelines.",y,Average concentration (ug/m3),N/A,AreaName,Concentration,N/A,n
28,Recycling rates,1,3,line,recycling-rates.json,"This chart shows the percentage of household waste sent for reuse, recycling or composting (Ex NI192)","This graph shows the % of household waste that is sent for reuse, recycling or composting. In Lambeth, approximately 36% of waste falls into this category. This is greater than the London average (33%), but lower than England as a whole (42%).",y,"Waste sent for reuse, recycling or composting (%)",N/A,Time period,Value,AreaName,n
29,Energy Performance Certificate ratings,1,3,line,EPC_ratings.json,Energy performance certificate energy efficiency ratings for existing and new dwellings. % rated A-C in latest quarters of data,This graph shows the % of properties evaluated for energy performance certificates (EPCs) in the latest three years of data that were rated A-C (indicating that they are relatively energy efficient - the scale goes from A-G). A slightly higher % of properties in Lambeth (57%) had an EPC rating A-C than London (55%). Both areas scored better than England as a whole with 51%.,y,A-C (%),N/A,Time period,Value,AreaName,n
30,Solar panel installations,1,3,line,solar-panel-installations.json,"Total number of solar panel installations per 1,000 households in area","This graph shows the number of existing solar panel installations per 1000 households. Lambeth has a lower % of households with solar panels installed compared to London and England. Lambeth has 8 solar photovoltaic installations per 1,000 households compared to 13 in London and 39 in England.",y,"Solar PV installations per 1,000 households",N/A,Time period,Value,AreaName,n
31,Access to public green space,1,3,grouped-bar,access-to-public-green-space2020.json,"Average number of parks, public gardens, or playing fields within 1 km",This graph shows the number of public green spaces that residents have access to within 1 km of their home. Lambeth and London have the same number of green spaces within this distance on average (Just under 7 public green spaces within 1 km of a household). This is significantly higher than the England average of ~4.5.,n,,N/A,Metric,Value,AreaName,n
32,Tree canopy cover,1,3,bar,tree-canopy-cover.json,Percentage of tree canopy cover in area,"This graph shows the amount of tree canopy cover in Lambeth compared to the rest of London. Lambeth has a slightly lower % of tree canopy cover than the average for Inner London boroughs (~16% vs 18%), and significantly less than the whole of London (21%).",y,Tree canopy cover (%),N/A,AreaName,Percentage of tree canopy cover,N/A,n
33,Method of travel to work,1,3,grouped-bar,method-of-travel-to-work.json,Method used to travel to work from the 2021 Census (table TS061),"This graph compares how people get to work in Lambeth with London and England. More people in Lambeth work from home than in London or England (50% vs 42% and 32% respectively). Lambeth residents are more likely than London residents to use the bus or cycle to work (11.5 vs 9%, and 5% vs 3%), and are less likely to use a car (9% vs 21%). Lambeth and London residents are much more likely to use public transport to get to work compared to driving to work by car in England (45% drive to work in England, and 4% are a passenger).",y,(%) of working population,N/A,Unique Keys,(%),AreaName,n
54,Overall crime rate,2,4,line,monthlyoverallcrimespercapita.json,Overall crime rate from Metropolitan police data,"This graph shows a comparison of the overall crime rate in financial years 2018-2022 (ending March 2022) between Lambeth and the London average. There was more overall crime in Lambeth, with 116 offences recorded per 1,000 people compared to 104 in London in 2021/22. For the three years previous to that, crime rates were roughly level with a small dip in 2020/21 during the COVID pandemic (down to 104 per 1,000 in Lambeth). Crime rates in Lambeth were consistently 10-15 offences per 1,000 people higher than in London over this time period.",y,"Offences per 1,000 people",N/A,Time period,"Offences per 1,000 people",AreaName,n
55,Violent crime rate,2,4,line,monthlyviolentcrimespercapita.json,Violent crime rate from Metropolitan police data,"This graph shows a comparison of the violent crime rate in financial years 2018-2022 (ending March 2022) between Lambeth and the London average. There was more violent crime in Lambeth in 2021/22, with 31 offences recorded per 1,000 people compared to 27 in London. This was an increase on previous years - from 2018 to 2021 the violent crime rate varied between 27-28.5 in Lambeth and 24-25 in London.",y,"Offences per 1,000 people",N/A,Time period,"Offences per 1,000 people",AreaName,n
56,Knife crime rate,2,4,line,monthlyknifecrimespercapita.json,Knife crime rate from Metropolitan police data,"This graph shows a comparison of knife crime rate in financial years 2018-2022 (ending March 2022) between Lambeth and the London average. There was more knife crime in Lambeth in 2021/22, with 3.2 offences recorded per 1,000 people compared to 2 in London. This was a similar rate to years previous to the COVID pandemic (just over 3 in Lambeth) - there was a significant dip in 2020/21 (2.4 in Lambeth). Knife crime rates were consistently at least 0.5 offences for 1,000 people higher in Lambeth than in London.",y,"Offences per 1,000 people",N/A,Time period,"Offences per 1,000 people",AreaName,n
57,Knife crime rate with victims younger than 25,2,4,line,monthlyknifecrimesvictimsU25percapita.json,Knife crime rate with victims younger than 25 (not domestic abuse) from Metropolitan police data,"This graph shows a comparison of knife crime rate where the victim was under 25, and it was not a domestic abuse incident. The data covers financial years 2018-2022 (ending March 2022), and compares Lambeth rates and the London average. There were more incidents in Lambeth, with 0.29 offences recorded per 1,000 people compared to 0.14 in London.  There was a similar rate to years previous to the COVID pandemic (around 0.3 in Lambeth) - there was a significant dip in 2020/21 (0.19 in Lambeth). Offence rates were always higher in Lambeth than in London (0.06-0.15 offences per 1,000 people higher).",y,"Offences per 1,000 people",N/A,Time period,Count,AreaName,n
58,Domestic abuse crime rate,2,4,line,monthlydomesticabusecrimespercapita.json,Domestic abuse crime rate from Metropolitan police data,"This graph shows a comparison of domestic abuse crime rate in financial years 2018-2022 (ending March 2022) between Lambeth and the London average.  The rate of domestic abuse offences in 2021/22 was higher in Lambeth, with 15 offences recorded per 1,000 people compared to 13.5 in London. Over time, the rate of incidents have been increasing, and the rate in Lambeth has been increasing more rapidly than in London. In 2018/2019, crime rates were almost the same in both Lambeth and London (~12.5 crimes per 1,000 people).",y,"Offences per 1,000 people",N/A,Time period,"Offences per 1,000 people",AreaName,n
59,Hate crime rate,2,4,line,monthlyhatecrimespercapita.json,Hate crime rate from Metropolitan police data,"The first graph shows a comparison of the number of hate crimes in 2021/22 between Lambeth and the London average. Overall, the rate of hate crime offences was higher in Lambeth, with 11.5 offences recorded per 1,000 people compared to 9 in London. Looking at sub-categories of hate crime, Lambeth has slightly higher incidences of Racist and Religious crime, Racist crime, Homophobic crime, and for non-specific Hate crimes than London.

The second graph shows the change in overall hate crime incidence by time in both areas. Hate crime rates increased over the four years in both areas (from 8-11.5 in Lambeth, and 6.5-9 in London).

",y,"Offences per 1,000 people",N/A,Time period,"Offences per 1,000 people",AreaName,n
60,Drug-related crime rate,2,4,line,monthlydrugoffensespercapita.json,Drug crime rate from Metropolitan police data,"The graph shows a comparison of the number of drug related crimes in 2017/18-2021/22 between Lambeth and the London average. Overall, the rate of hate crime offences was higher in Lambeth, with 7 offences recorded per 1,000 people compared to 95 in London in 21/22.

Over time, drug related crimes stayed roughly the same over four years (from 7.5 to 7 in Lambeth, and 4.4 to 5 in London). This was despite year-on-year variations, with a increase in 2020/21 in both areas.

",y,"Offences per 1,000 people",N/A,Time period,"Offences per 1,000 people",AreaName,n
61,Domestic burglary crime rate,2,4,line,monthlydomesticburglarypercapita.json,Domestic burglary crime rate from Metropolitan police data,"The graph shows a comparison of the number of domestic burglary crimes in 2017/18-2021/22 between Lambeth and the London average. Overall, the rate of hate crime offences was higher in Lambeth, with 5.5 offences recorded per 1,000 people compared to 4.5 in London in 21/22.

Over time, drug related crimes decreased over four years (from 7.4 to 5.5 in Lambeth, and 6.7 to 4.5 in London). This was despite year-on-year variations, with a increase in 2020/21 in both areas.

",y,"Offences per 1,000 people",N/A,Time period,"Offences per 1,000 people",AreaName,n
62,Anti-social behaviour,2,5,bar,anti-social-behaviour.json,Anti-social behaviour police report rates,"The graph shows a comparison of the number of reported anti-social behaviour incidents from 2019 to 2022 between Lambeth and London. The rate of anti-social behaviour incidents was higher in Lambeth over the four years, reaching a peak of 57 incidents per 1,000 people in 2020 compared to 47 in London overall. In 2022 this value had reduced to 34 in Lambeth compared to 29 in London.

",y,"Offences per 1,000 people",N/A,AreaName,"Offences per 1,000 people",N/A,n
63,Reoffending rates,2,4,line,reoffending-rates.json,The percentage of offenders in a given year's cohort who reoffended,"This graph show the percentage of offenders in a given year's cohort (ending March of the year indicated) that subsequently reoffended. Since there has been less time for cohorts from later years to reoffend, it can be expected that rates are lower for data from later years. It is better to compare data between areas than across years.

The data shows that Lambeth is not consistently higher or lower than other areas in terms of reoffending rate. In earlier years it was higher, and more recently lower until the latest year of data. In the year April 2022-March 2021 (the latest data), 26% of Lambeth offenders had reoffended compared to 23.7% and 24% in London and England respectively.

",y,Offenders who reoffended (%),N/A,Time period,Value,AreaName,n
64,Stop and search,2,5,grouped-bar,stopandsearchbyethnicity.json,Police stop and searches in last two years by ethnicity,"This graph shows the rate of stop and searches conducted by police in Lambeth over a year by ethnicity. Total search numbers are underestimated as many searches did not have a self-defined ethnicity (see data table).

The data clearly shows that the rate of stop and searches is much greater for people from an ethnic minority background than for white people. In Lambeth this disparity is particularly large - the rate of stop and searches is 26 per 1,000 for those from an ethnic minority background compared to 8 for white people compared to ~18.5 vs 12 for London.",n,,N/A,Time period,"Number of 'stop and searches' per 1,000 people",AreaName,n
65,Public perception of police,2,5,line,public-perception-police.json,Responses to 'Police do a good job in the area' from the MPS public perception survey,,y,Police do a good job in the area (%),N/A,Time period,Value,AreaName,n
66,Resident survey perception of safety,2,5,,,Responses to questions related to community safety and the police from the latest resident survey (2022),"These graphs show responses to questions related to Lambeth residents' feelings about safety and the police in their local area (excluding don't know answers). 

92% of respondents felt that their local area was safe during the day, and 63% felt it was safe at night. 10.5% of respondents felt that their local area was not at all safe at night. People feel their area is less safe now than in 2020. 10.5% of residents feel that their local area is not at all safe at night, which has increased from only 4.8% in 2020. Additionally, over 7% of respondents felt that hate crime or sexual harrassment were a big problem in their local area (~21% said it was a fairly big problem).

On the question of having confidence in police, respondents were quite evenly split; 34% of respondents agreed with the statement, while 33% disagreed.",n,,N/A,,,AreaName,n
67,Traffic incidents,2,5,line,traffic-incidents.json,"This graph shows the data for number of traffic incidents casualties per 1,000 people","This graph shows the rate of traffic incidents casualties (any level of severity) per 1,000 people over a one year period. Lambeth had a higher rate of casualties from traffic incidents (4.2) compared to the London average (3) in 2021.",y,"Casualties per 1,000 people",N/A,Time period,Value,AreaName,n
68,Population by Age,3,6,grouped-bar,population-by-age.json,Population by sex and age from the 2021 Census (table TS008),"This graph shows population by sex and age in Lambeth, London, and England from the 2021 Census. Lambeth has an identical percentage of people who are female (51.5%) compared to male (48.5%) as London, and has slightly more female residents then England (51% female).",y,Population (%)  ,N/A,Unique Keys,(%),AreaName,n
69,Population by Sex,3,6,grouped-bar,population-by-sex.json,Population by sex and age from the 2021 Census (table TS008),"This graph shows population by sex and age in Lambeth, London, and England from the 2021 Census. Lambeth has an identical percentage of people who are female (51.5%) compared to male (48.5%) as London, and has slightly more female residents then England (51% female).",y,Population (%)  ,N/A,Unique Keys,(%),AreaName,n
70,Population Projections,3,6,line,populationprojection2020-30.json,This graph displays population projections up to the year 2030 for both Lambeth and London.,,n,Number of people,N/A,Time period,Value,AreaName,n
71,Household composition,3,6,grouped-bar,household-composition.json,Household composition from the 2021 Census (Table TS003),"This graph shows the composition of households in Lambeth, London, and England from the 2021 Census. Lambeth has overall less single-family households (50%) than London (58%) and England (63%). However it does have slightly more single parent and families where the parents are not married or in a civil partnership. Lambeth has significantly more 'Other' households where residents may be students or multiple people aged 66 or older (~15%), compared to London (8%) and England (4%). ",y,Population (%),N/A,Unique Keys,(%),AreaName,n
72,Country of birth,3,6,grouped-bar,country-of-birth.json,Country of birth from the 2021 Census (Table TS004),"This graph shows the country of birth of residents of Lambeth, London, and England from the 2021 Census. Lambeth has a  similar percentage of residents born in the UK as London (61%), but much less than England (83%). Lambeth has a significant population of people born in The Americas and the Caribbean (9%) and Africa (8.5%). Lambeth also has a large population of people born in the EU (13%), similar to the rest of London.",y,Population (%),N/A,Unique Keys,(%),AreaName,n
73,Passports held,3,6,grouped-bar,passports-held.json,Passports held from the 2021 Census (table TS005),"This graph shows the passports held by residents of Lambeth, London and England from the 2021 Census. In total, more people in Lambeth have a passport than in London or England, but less have a United Kingdom passport than England (72% vs 77%). Like the rest of London, Lambeth residents hold a diverse range of passports from many countries. Particular differences include more Portugueuse and Spanish passports in Lambeth, and less Romanian and South Asian passports than other areas.",y,Population (%),N/A,Unique Keys,(%),AreaName,n
74,Main language,3,6,grouped-bar,main-language.json,Main language from the 2021 Census (table TS024),"This graph shows the main language spoken by residents of Lambeth, London and England from the 2021 Census. A similar proportion of Lambeth residents have English as their main language (82%) as London, but less than England (91%). Significantly more people in Lambeth has Spanish (4%), Portuguese (3%), and an African language (2%) than London or England (~1% or less for all). Much less people in Lambeth (1%) speak a South Asian language as their main language than in London (6%) or England (2.5%).",n,Population (%),N/A,Unique Keys,(%),AreaName,n
75,English proficiency,3,6,grouped-bar,english-proficiency.json,Proficiency in English from the 2021 Census (table TS029),"This graph shows the level of English proficiency of Lambeth residents. As in London or England, the vast majority of residents either have English as a first language, or can speak English well. Slightly more Lambeth and London residents say they cannot speak English well (3% and 4%), or cannot speak English (1% for both), compared to England as a whole (2% and < 0.5%).",y,Population (%),N/A,Unique Keys,(%),AreaName,n
76,Ethnicity,3,6,grouped-bar,ethnicity.json,Ethnic group from the 2021 Census (table TS022),"This graph provides information about the population of different ethnic groups in Lambeth, London, and England from the 2021 Census. Lambeth has a significant population of people from a Black, Black British, Black Welsh, or Caribbean (12%) / African (12%) background compared to London (6% and 8% respectively), and England (2% and 3% respectively). Lambeth also has a slightly higher proportion of people from mixed/multiple ethnic groups, and significantly lower people from an Asian, Asian British, or Asian Welsh background than London as a whole (7% vs 21%).",y,Population (%),N/A,Unique Keys,(%),AreaName,n
77,Religion,3,6,grouped-bar,religion.json,Religion from the 2021 Census (table TS031),"The table provides information about the population of different religious groups in Lambeth, London, and England from the 2021 Census. In Lambeth, the largest religious group is Christian, making up 44% of the population, which is slightly higher than London (41%) and lower than England (46). The second largest group is those with no religion, at 37.5%, much greater than London 27% but similar to England. Lambeth has a much lower Muslim (8% vs 15%) and Hindu (1% vs 5%) population than London.",y,Population (%),N/A,Unique Keys,(%),AreaName,n
78,Sexual orientation,3,6,grouped-bar,sexual-orientation.json,Sexual orientation from the 2021 Census (table TS077),"This graph shows the sexual orientation of Census respondents in Lambeth, London, and England. The data shows that significantly more Lambeth residents say they are Gay/Lesbian (5%), Bisexual (2%), or another sexual orientation (not heterosexual 1%) than in London (2%, 1.5%, and 0.5% respectively) and England (1.5%, 1%, and <0.5% respectively).",y,Population (%),N/A,Unique Keys,(%),AreaName,n
79,Gender identity,3,6,grouped-bar,gender-identity.json,Gender identity from the 2021 Census (table TS078),"This graph shows the gender identity of Census respondents in Lambeth, London, and England. In general, the percentage of people who responded with a gender identity different from their sex registered at birth is small for each category, so it is different to see significant differences between the areas.

Lambeth has a higher percentage of people who have a gender identity that is different from their sex registered at birth but did not give a specific identity than England at 0.4% vs 0.2%,  similar to London at 0.5%. The percentage of people who identify as trans man and trans woman is relatively similar across all areas, with Lambeth and London (0.2%)  having slightly higher percentages than England at 0.1% for both.",y,Population (%),N/A,Unique Keys,(%),AreaName,n
80,Working age population,3,7,grouped-bar,working-age-population.json,Working age population (16-64),"This graph shows the working age population for Lambeth, London, and England, i.e. people who are aged 16-64 years old from 2020 mid-year population estimates. Lambeth has a higher percentage of people of working age (about 74%) than both London (66%) and England (~62%). In all areas, there are very slighly more men of working age than women.",y,Population (%),N/A,Unique Keys,(%),AreaName,n
81,Types of industry,3,7,bar,,Employment by industry type (by two-digit Standard Industrial Classification code),"This graph shows the % of workers in different industry categories. Lambeth has a higher % of the workforce than other areas in head offices/management consultancy (8% vs 7.5% and 5.5% for London and England), food and beverage services (8% vs 5.5% and 6% for London and England), 'Other' professional, scientific and technical (5% vs 3.5% and 2.5% for London and England), video/TV production (4% vs 2.5% and 1% for London and England), and creative industries (3.5% vs 2% and 1% for London and England). Lambeth has significantly less employees in construction and wholesale trade.",n,,N/A,,,,n
82,Qualifications,3,7,grouped-bar,Qualifications.json,Qualifications,"These graphs show the qualifications that people aged 16-64 hold in Lambeth, London, and England. NVQ 4 is equivalent to a Bachelor's degree, whereas NVQ 1 level is approximately equivalent to 3/4 GCSEs grade D-G.

Lambeth has a significantly higher % of people who have an NVQ 2 level or above than London or England, with 92% holding at least a qualification of this level compared to 78% in England and 81.5% in London. The disparity between areas increases when considering higher NVQ equivalent levels.",n,,N/A,,,,n
